股票代码,stock_short,company_name,regno_or_creditcode,type,更新时间
838191,蔚蓝体育,深圳市蔚蓝体育股份有限公司,9144030019217942X5,广东,
838192,铂联科技,厦门市铂联科技股份有限公司,91350200737877990H,福建,
838193,天元宠物,杭州天元宠物用品股份有限公司,91330110749489434P,浙江,
838194,金泰美林,烟台金泰美林科技股份有限公司,91370600265669789G,山东,
838195,惠凌股份,重庆惠凌实业股份有限公司,91500107203291098W,重庆,
838196,创美股份,山西创美建筑安装工程股份有限公司,911401006922193015,山西,
838197,赢冠口腔,北京赢冠口腔医疗科技股份有限公司,91110108762189380A,北京,
838199,德立装备,浙江德立自动化装备股份有限公司,913305216605913447,浙江,
838200,金添动漫,广东金添动漫股份有限公司,914419005724349201,广东,
838201,凯美瑞德,凯美瑞德（苏州）信息科技股份有限公司,913205940763248105,江苏,
838202,名品电子,泉州市名品电子股份有限公司,9135050276857487XY,福建,
838204,研创材料,研创应用材料（赣州）股份有限公司,360700210030825 ,江西,
838205,西科码,北京西科码医疗器械股份有限公司,9111010868836360X5,北京,
838207,东南艺纸,福建东南艺术纸品股份有限公司,91350300X11300033H,福建,
838208,瑞德传媒,北京中视瑞德文化传媒股份有限公司,91110105685770621Y,北京,
838209,安德建奇,北京安德建奇数字设备股份有限公司,911101167376703240,北京,
838211,祥豪实业,江苏祥豪实业股份有限公司,913208315678338635,江苏,
838212,中吉号,深圳市中吉号茶业股份有限公司,91440300797968587M,广东,
838213,金万达,佛山金万达科技股份有限公司,9144060707513699XU,广东,
838214,武汉神动,武汉神动汽车电子电器股份有限公司,914201006823411278,湖北,
838215,乐汇牧业,吴忠市乐汇牧业股份有限公司,640300200028824 ,宁夏,
838216,前海圆舟,深圳市前海圆舟网络科技股份有限公司,914403000818552101,深圳,
838217,中和车身,武汉中和车身股份有限公司,914201147963076058,湖北,
838218,津之源,湖南津之源食品科技股份有限公司,91430121776785431H,湖南,
838219,柳江牧业,河南柳江生态牧业股份有限公司,410881100007512 ,河南,
838220,谷麦光电,广东谷麦光电科技股份有限公司,91441900694745225B,广东,
